Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity Sample 1 : TMT10-126,Intensity Sample 2 : TMT10-126,Intensity Sample 3 : TMT10-126,Intensity Sample 1 : TMT10-127N,Intensity Sample 2 : TMT10-127N,Intensity Sample 3 : TMT10-127N,Intensity Sample 1 : TMT10-127C,Intensity Sample 2 : TMT10-127C,Intensity Sample 3 : TMT10-127C,Intensity Sample 1 : TMT10-128C,Intensity Sample 2 : TMT10-128C,Intensity Sample 3 : TMT10-128C,Intensity Sample 1 : TMT10-129C,Intensity Sample 2 : TMT10-129C,Intensity Sample 3 : TMT10-129C,Intensity Sample 1 : TMT10-130C,Intensity Sample 2 : TMT10-130C,Intensity Sample 3 : TMT10-130C,Intensity Sample 1 : TMT10-131,Intensity Sample 2 : TMT10-131,Intensity Sample 3 : TMT10-131,Ratio Sample 1 : TMT10-126,Ratio Sample 2 : TMT10-126,Ratio Sample 3 : TMT10-126,Ratio Sample 1 : TMT10-127N,Ratio Sample 2 : TMT10-127N,Ratio Sample 3 : TMT10-127N,Ratio Sample 1 : TMT10-127C,Ratio Sample 2 : TMT10-127C,Ratio Sample 3 : TMT10-127C,Ratio Sample 1 : TMT10-128C,Ratio Sample 2 : TMT10-128C,Ratio Sample 3 : TMT10-128C,Ratio Sample 1 : TMT10-129C,Ratio Sample 2 : TMT10-129C,Ratio Sample 3 : TMT10-129C,Ratio Sample 1 : TMT10-130C,Ratio Sample 2 : TMT10-130C,Ratio Sample 3 : TMT10-130C,Ratio Sample 1 : TMT10-131,Ratio Sample 2 : TMT10-131,Ratio Sample 3 : TMT10-131,Intensity Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Intensity Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Intensity Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Intensity Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Intensity Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Intensity Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Intensity Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Ratio Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Ratio Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Ratio Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Ratio Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Ratio Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Ratio Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Ratio Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1770,1287,P36551,13.34,159.28,7.608E4,8.76E4,8.162E4,1.503E5,1.265E5,8.761E4,8.551E4,1.203E5,1.222E5,1.558E5,1.478E5,9.994E4,1.446E5,1.24E5,9.576E4,7.183E4,8.101E4,8.125E4,1.614E5,1.495E5,1.163E5,1.00,1.15,1.07,1.98,1.66,1.15,1.12,1.58,1.61,2.05,1.94,1.31,1.90,1.63,1.26,0.94,1.06,1.07,2.12,1.96,1.53,2.453E5,3.644E5,3.28E5,4.035E5,3.643E5,2.341E5,4.273E5,1.00,1.49,1.34,1.64,1.49,0.95,1.74,34,16,16,TMT10plex; Carbamidomethylation; Deamidation (NQ),50152,Oxygen-dependent coproporphyrinogen-III oxidase  mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3
1653,1060,Q6ZMZ3,9.60,159.20,8.988E4,4.924E4,8.799E4,1.813E5,1.142E5,1.621E5,1.178E5,7.398E4,1.371E5,1.914E5,1.162E5,1.894E5,1.46E5,9.451E4,1.418E5,1.624E5,1.103E5,1.707E5,1.228E5,8.847E4,1.15E5,1.00,0.55,0.98,2.02,1.27,1.80,1.31,0.82,1.53,2.13,1.29,2.11,1.62,1.05,1.58,1.81,1.23,1.90,1.37,0.98,1.28,2.271E5,4.577E5,3.289E5,4.971E5,3.823E5,4.435E5,3.262E5,1.00,2.02,1.45,2.19,1.68,1.95,1.44,25,24,24,TMT10plex; Carbamidomethylation; Deamidation (NQ),112216,Nesprin-3 OS=Homo sapiens OX=9606 GN=SYNE3 PE=1 SV=2
1362,1090,Q96JM3,8.28,159.20,8.004E4,7.929E4,8.474E4,2.793E5,2.207E5,2.207E5,1.625E5,1.517E5,1.602E5,2.801E5,2.399E5,2.377E5,1.595E5,1.408E5,1.43E5,1.898E5,1.735E5,1.802E5,1.789E5,1.558E5,1.658E5,1.00,0.99,1.06,3.49,2.76,2.76,2.03,1.90,2.00,3.50,3.00,2.97,1.99,1.76,1.79,2.37,2.17,2.25,2.24,1.95,2.07,2.441E5,7.207E5,4.744E5,7.576E5,4.433E5,5.435E5,5.005E5,1.00,2.95,1.94,3.10,1.82,2.23,2.05,26,21,21,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),89099,Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2
1447,1096,Q9NUU7,8.84,159.09,8.916E3,3.675E3,1.272E4,1.809E4,8.265E3,4.419E4,2.082E4,1.268E4,3.673E4,2.302E4,1.583E4,3.951E4,2.452E4,1.034E4,5.176E4,2.024E4,1.264E4,4.467E4,2.375E4,8.433E3,3.92E4,1.00,0.41,1.43,2.03,0.93,4.96,2.34,1.42,4.12,2.58,1.78,4.43,2.75,1.16,5.80,2.27,1.42,5.01,2.66,0.95,4.40,2.532E4,7.054E4,7.024E4,7.836E4,8.662E4,7.754E4,7.138E4,1.00,2.79,2.77,3.10,3.42,3.06,2.82,4,19,2,TMT10plex,53975,ATP-dependent RNA helicase DDX19A OS=Homo sapiens OX=9606 GN=DDX19A PE=1 SV=1
1738,1097,Q86U86,6.20,159.06,7.082E4,5.552E4,6.193E4,1.969E5,1.299E5,1.503E5,1.262E5,9.06E4,1.125E5,2.33E5,1.491E5,1.667E5,1.203E5,8.973E4,1.015E5,1.292E5,9.457E4,9.959E4,1.498E5,8.898E4,1.134E5,1.00,0.78,0.87,2.78,1.83,2.12,1.78,1.28,1.59,3.29,2.11,2.35,1.70,1.27,1.43,1.82,1.34,1.41,2.11,1.26,1.60,1.883E5,4.771E5,3.294E5,5.488E5,3.115E5,3.233E5,3.521E5,1.00,2.53,1.75,2.91,1.65,1.72,1.87,15,24,24,TMT10plex; Carbamidomethylation; Deamidation (NQ),192946,Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1
1248,1165,Q8NI27,14.57,158.90,1.212E5,1.546E5,1.652E5,3.221E5,4.185E5,4.033E5,2.428E5,2.766E5,2.637E5,4.254E5,5.444E5,4.909E5,2.538E5,3.387E5,3.02E5,3.06E5,3.575E5,3.187E5,3.186E5,4.465E5,3.684E5,1.00,1.28,1.36,2.66,3.45,3.33,2.00,2.28,2.18,3.51,4.49,4.05,2.09,2.79,2.49,2.52,2.95,2.63,2.63,3.68,3.04,4.41E5,1.144E6,7.831E5,1.461E6,8.945E5,9.823E5,1.133E6,1.00,2.59,1.78,3.31,2.03,2.23,2.57,17,27,26,TMT10plex; Carbamidomethylation; Deamidation (NQ),182774,THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2
1189,996,P21127,3.52,158.90,1.997E4,4.4E4,4.155E4,2.568E4,9.466E4,6.5E4,2.852E4,8.45E4,4.831E4,3.372E4,1.04E5,7.293E4,2.266E4,7.591E4,4.706E4,3.065E4,9.019E4,5.445E4,2.381E4,8.134E4,5.027E4,1.00,2.20,2.08,1.29,4.74,3.25,1.43,4.23,2.42,1.69,5.21,3.65,1.13,3.80,2.36,1.53,4.52,2.73,1.19,4.07,2.52,1.055E5,1.853E5,1.613E5,2.107E5,1.456E5,1.753E5,1.554E5,1.00,1.76,1.53,2.00,1.38,1.66,1.47,4,26,3,TMT10plex,92620,Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4
1539,972,Q96K76,7.06,158.88,5.416E4,7.413E4,3.786E4,1.108E5,1.674E5,7.216E4,8.313E4,1.151E5,5.486E4,1.572E5,2.168E5,1.039E5,8.954E4,1.233E5,6.344E4,9.187E4,1.303E5,6.258E4,1.007E5,1.5E5,7.356E4,1.00,1.37,0.70,2.05,3.09,1.33,1.53,2.12,1.01,2.90,4.00,1.92,1.65,2.28,1.17,1.70,2.41,1.16,1.86,2.77,1.36,1.662E5,3.504E5,2.53E5,4.779E5,2.763E5,2.847E5,3.242E5,1.00,2.11,1.52,2.88,1.66,1.71,1.95,19,23,22,TMT10plex; Carbamidomethylation; Deamidation (NQ),157311,Ubiquitin carboxyl-terminal hydrolase 47 OS=Homo sapiens OX=9606 GN=USP47 PE=1 SV=3
952,1203,O75821,20.11,158.85,2.002E5,1.809E5,2.429E5,4.524E5,4.773E5,5.459E5,4.098E5,4.136E5,5.107E5,5.635E5,5.672E5,7.081E5,4.622E5,4.145E5,5.631E5,4.578E5,4.092E5,5.418E5,6.086E5,7.143E5,8.944E5,1.00,0.90,1.21,2.26,2.38,2.73,2.05,2.07,2.55,2.82,2.83,3.54,2.31,2.07,2.81,2.29,2.04,2.71,3.04,3.57,4.47,6.24E5,1.476E6,1.334E6,1.839E6,1.44E6,1.409E6,2.217E6,1.00,2.36,2.14,2.95,2.31,2.26,3.55,51,22,22,TMT10plex; Carbamidomethylation; Deamidation (NQ),35611,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2
650,2527,P62316,31.53,158.75,3.696E5,4.36E5,5.632E5,1.343E6,1.632E6,1.696E6,8.944E5,1.062E6,1.197E6,1.693E6,2.089E6,2.145E6,8.732E5,9.982E5,1.133E6,9.785E5,1.166E6,1.283E6,1.321E6,1.574E6,1.737E6,1.00,1.18,1.52,3.64,4.42,4.59,2.42,2.87,3.24,4.58,5.65,5.80,2.36,2.70,3.07,2.65,3.15,3.47,3.57,4.26,4.70,1.369E6,4.672E6,3.153E6,5.927E6,3.004E6,3.427E6,4.631E6,1.00,3.41,2.30,4.33,2.20,2.50,3.38,54,20,20,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),13527,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1
1507,1085,Q01433,12.69,158.74,1.098E5,8.145E4,1.204E5,1.207E5,1.1E5,2.145E5,1.421E5,1.121E5,2.025E5,2.204E5,1.816E5,2.976E5,9.885E4,8.899E4,1.622E5,1.8E5,1.624E5,2.61E5,1.406E5,1.271E5,2.027E5,1.00,0.74,1.10,1.10,1.00,1.95,1.29,1.02,1.84,2.01,1.65,2.71,0.90,0.81,1.48,1.64,1.48,2.38,1.28,1.16,1.85,3.117E5,4.451E5,4.567E5,6.995E5,3.5E5,6.034E5,4.705E5,1.00,1.43,1.47,2.24,1.12,1.94,1.51,22,22,22,TMT10plex; Carbamidomethylation; Phosphorylation (STY),100688,AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2
1610,986,Q86VM9,5.81,158.70,5.775E4,9.115E4,1.023E5,1.509E5,1.756E5,1.998E5,1.214E5,1.865E5,1.926E5,1.875E5,2.325E5,2.797E5,1.182E5,1.6E5,1.93E5,1.38E5,2.021E5,2.117E5,1.332E5,1.818E5,1.992E5,1.00,1.58,1.77,2.61,3.04,3.46,2.10,3.23,3.33,3.25,4.03,4.84,2.05,2.77,3.34,2.39,3.50,3.67,2.31,3.15,3.45,2.512E5,5.262E5,5.004E5,6.997E5,4.712E5,5.517E5,5.141E5,1.00,2.10,1.99,2.79,1.88,2.20,2.05,27,22,22,TMT10plex; Phosphorylation (STY),106379,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=2
813,1786,P62995,34.31,158.67,2.755E5,3.064E5,2.919E5,9.038E5,1.004E6,1.097E6,6.211E5,7.179E5,7.28E5,1.159E6,1.238E6,1.299E6,6.445E5,7.047E5,7.16E5,6.898E5,7.685E5,7.88E5,6.706E5,6.758E5,6.042E5,1.00,1.11,1.06,3.28,3.64,3.98,2.25,2.61,2.64,4.21,4.49,4.72,2.34,2.56,2.60,2.50,2.79,2.86,2.43,2.45,2.19,8.738E5,3.005E6,2.067E6,3.697E6,2.065E6,2.246E6,1.951E6,1.00,3.44,2.37,4.23,2.36,2.57,2.23,30,21,16,TMT10plex; Carbamidomethylation; Phosphorylation (STY),33666,Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1
1123,990,Q01085,16.85,158.65,1.268E5,8.183E4,5.834E4,3.515E5,1.977E5,1.682E5,2.557E5,1.495E5,1.31E5,4.13E5,2.369E5,2.883E5,2.596E5,1.382E5,1.505E5,3.012E5,1.74E5,1.691E5,3.091E5,1.573E5,1.759E5,1.00,0.65,0.46,2.77,1.56,1.33,2.02,1.18,1.03,3.26,1.87,2.27,2.05,1.09,1.19,2.38,1.37,1.33,2.44,1.24,1.39,2.67E5,7.174E5,5.362E5,9.382E5,5.483E5,6.443E5,6.423E5,1.00,2.69,2.01,3.51,2.05,2.41,2.41,21,19,9,TMT10plex; Carbamidomethylation,41591,Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1
1799,1199,Q13586,4.68,158.64,7.448E4,8.97E4,4.744E5,1.578E5,1.89E5,4.491E5,1.43E5,1.624E5,3.955E5,1.732E5,1.965E5,3.699E5,1.283E5,1.377E5,3.4E5,1.557E5,1.785E5,4.35E5,1.188E5,1.257E5,3.452E5,1.00,1.20,6.37,2.12,2.54,6.03,1.92,2.18,5.31,2.33,2.64,4.97,1.72,1.85,4.56,2.09,2.40,5.84,1.59,1.69,4.63,6.385E5,7.958E5,7.01E5,7.396E5,6.059E5,7.692E5,5.897E5,1.00,1.25,1.10,1.16,0.95,1.20,0.92,26,18,18,TMT10plex,77423,Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=3
1212,1267,Q96KR1,9.35,158.58,1.499E5,2.322E5,2.69E5,2.762E5,3.897E5,3.569E5,3.16E5,4.356E5,4.14E5,3.968E5,5.283E5,5.185E5,2.995E5,4.138E5,3.905E5,3.198E5,4.465E5,4.15E5,2.556E5,3.722E5,3.992E5,1.00,1.55,1.79,1.84,2.60,2.38,2.11,2.91,2.76,2.65,3.53,3.46,2.00,2.76,2.61,2.13,2.98,2.77,1.71,2.48,2.66,6.51E5,1.023E6,1.166E6,1.444E6,1.104E6,1.181E6,1.027E6,1.00,1.57,1.79,2.22,1.70,1.81,1.58,29,31,28,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),117012,Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2
1594,1073,Q5VTR2,4.66,158.57,6.574E4,1.083E5,5.531E4,1.003E5,1.286E5,8.336E4,1.171E5,1.731E5,9.973E4,1.89E5,2.229E5,1.402E5,1.096E5,1.34E5,9.193E4,1.34E5,1.804E5,9.725E4,1.103E5,1.442E5,9.809E4,1.00,1.65,0.84,1.53,1.96,1.27,1.78,2.63,1.52,2.88,3.39,2.13,1.67,2.04,1.40,2.04,2.74,1.48,1.68,2.19,1.49,2.294E5,3.122E5,3.899E5,5.522E5,3.355E5,4.117E5,3.527E5,1.00,1.36,1.70,2.41,1.46,1.80,1.54,20,21,19,TMT10plex,113662,E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens OX=9606 GN=RNF20 PE=1 SV=2
1372,1132,Q8WU90,5.96,158.50,8.557E4,1.742E5,1.023E5,2.449E5,3.399E5,2.076E5,1.797E5,3.019E5,1.592E5,2.453E5,3.654E5,2.22E5,1.913E5,2.937E5,1.74E5,1.784E5,3.489E5,1.859E5,2.9E5,3.329E5,2.801E5,1.00,2.04,1.20,2.86,3.97,2.43,2.10,3.53,1.86,2.87,4.27,2.59,2.24,3.43,2.03,2.09,4.08,2.17,3.39,3.89,3.27,3.621E5,7.924E5,6.408E5,8.327E5,6.59E5,7.132E5,9.03E5,1.00,2.19,1.77,2.30,1.82,1.97,2.49,41,20,19,TMT10plex,48603,Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ZC3H15 PE=1 SV=1
1651,1010,Q12882,18.59,158.47,4.82E4,8.197E4,5.83E4,8.216E4,9.143E4,9.244E4,9.988E4,1.393E5,1.279E5,1.991E5,2.303E5,2.331E5,1.26E5,1.668E5,1.781E5,9.548E4,1.136E5,1.191E5,7.341E4,9.264E4,8.97E4,1.00,1.70,1.21,1.70,1.90,1.92,2.07,2.89,2.65,4.13,4.78,4.84,2.61,3.46,3.69,1.98,2.36,2.47,1.52,1.92,1.86,1.885E5,2.66E5,3.672E5,6.625E5,4.708E5,3.281E5,2.558E5,1.00,1.41,1.95,3.52,2.50,1.74,1.36,25,21,21,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),111401,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Homo sapiens OX=9606 GN=DPYD PE=1 SV=2
836,1290,P23497,14.55,158.43,4.905E4,3.033E4,4.236E4,9.149E4,5.591E4,9.814E4,7.268E4,4.387E4,6.4E4,1.084E5,5.978E4,1.189E5,5.283E4,3.181E4,5.446E4,6.35E4,4.39E4,6.502E4,4.873E4,2.661E4,4.961E4,1.00,0.62,0.86,1.87,1.14,2.00,1.48,0.89,1.30,2.21,1.22,2.42,1.08,0.65,1.11,1.29,0.90,1.33,0.99,0.54,1.01,1.217E5,2.455E5,1.806E5,2.871E5,1.391E5,1.724E5,1.249E5,1.00,2.02,1.48,2.36,1.14,1.42,1.03,14,21,9,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),100417,Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3
1498,1233,Q9UBS4,17.20,158.35,1.426E5,8.757E4,1.09E5,2.776E5,1.488E5,2.389E5,2.573E5,1.497E5,2.182E5,3.166E5,1.747E5,2.695E5,2.479E5,1.566E5,2.209E5,3.893E5,2.21E5,2.969E5,2.837E5,1.585E5,2.051E5,1.00,0.61,0.76,1.95,1.04,1.68,1.80,1.05,1.53,2.22,1.23,1.89,1.74,1.10,1.55,2.73,1.55,2.08,1.99,1.11,1.44,3.391E5,6.653E5,6.252E5,7.608E5,6.254E5,9.072E5,6.473E5,1.00,1.96,1.84,2.24,1.84,2.68,1.91,42,17,16,TMT10plex; Carbamidomethylation,40514,DnaJ homolog subfamily B member 11 OS=Homo sapiens OX=9606 GN=DNAJB11 PE=1 SV=1
1750,868,Q4V328,4.18,158.32,3.867E4,2.887E4,2.846E4,6.619E4,4.329E4,5.596E4,8.163E4,5.014E4,5.489E4,9.266E4,5.655E4,7.082E4,7.778E4,5.358E4,5.807E4,8.591E4,5.396E4,5.26E4,8.822E4,4.348E4,6.453E4,1.00,0.75,0.74,1.71,1.12,1.45,2.11,1.30,1.42,2.40,1.46,1.83,2.01,1.39,1.50,2.22,1.40,1.36,2.28,1.12,1.67,9.6E4,1.654E5,1.867E5,2.2E5,1.894E5,1.925E5,1.962E5,1.00,1.72,1.94,2.29,1.97,2.00,2.04,25,18,17,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),95989,GRIP1-associated protein 1 OS=Homo sapiens OX=9606 GN=GRIPAP1 PE=1 SV=1
1165,887,P33240,17.23,158.29,2.892E4,2.883E4,4.42E4,6.339E4,7.711E4,1.191E5,5.344E4,7.374E4,9.696E4,8.413E4,1.097E5,1.434E5,5.306E4,7.272E4,9.418E4,5.281E4,6.069E4,9.724E4,8.454E4,9.376E4,1.365E5,1.00,1.00,1.53,2.19,2.67,4.12,1.85,2.55,3.35,2.91,3.79,4.96,1.83,2.51,3.26,1.83,2.10,3.36,2.92,3.24,4.72,1.019E5,2.596E5,2.241E5,3.372E5,2.2E5,2.107E5,3.148E5,1.00,2.55,2.20,3.31,2.16,2.07,3.09,18,19,9,TMT10plex; Carbamidomethylation; Phosphorylation (STY),60959,Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1
1604,792,P19784,16.04,158.17,5.541E4,2.377E4,3.212E4,1.262E5,4.694E4,7.395E4,1.31E5,4.135E4,8.415E4,1.844E5,6.501E4,1.067E5,1.479E5,4.681E4,8.424E4,1.33E5,4.855E4,8.171E4,2.38E5,9.508E4,1.559E5,1.00,0.43,0.58,2.28,0.85,1.33,2.36,0.75,1.52,3.33,1.17,1.93,2.67,0.84,1.52,2.40,0.88,1.47,4.29,1.72,2.81,1.113E5,2.471E5,2.565E5,3.561E5,2.79E5,2.633E5,4.89E5,1.00,2.22,2.30,3.20,2.51,2.37,4.39,42,16,11,TMT10plex; Carbamidomethylation,41213,Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1
2090,1117,Q92673,15.15,158.15,4.009E4,5.056E4,4.581E4,1.194E5,1.198E5,1.131E5,6.563E4,6.671E4,6.509E4,8.704E4,8.392E4,8.511E4,6.334E4,5.63E4,6.825E4,8.725E4,9.529E4,8.758E4,6.85E4,6.539E4,6.364E4,1.00,1.26,1.14,2.98,2.99,2.82,1.64,1.66,1.62,2.17,2.09,2.12,1.58,1.40,1.70,2.18,2.38,2.18,1.71,1.63,1.59,1.365E5,3.523E5,1.974E5,2.561E5,1.879E5,2.701E5,1.975E5,1.00,2.58,1.45,1.88,1.38,1.98,1.45,9,19,19,TMT10plex; Carbamidomethylation; Deamidation (NQ),248425,Sortilin-related receptor OS=Homo sapiens OX=9606 GN=SORL1 PE=1 SV=2
1840,2020,O14579,20.91,158.14,4.178E4,3.184E4,4.025E4,1.233E5,1.191E5,1.443E5,7.057E4,6.487E4,6.063E4,1.429E5,1.28E5,1.728E5,7.843E4,6.768E4,7.502E4,7.695E4,6.347E4,6.222E4,1.509E5,1.189E5,1.699E5,1.00,0.76,0.96,2.95,2.85,3.45,1.69,1.55,1.45,3.42,3.06,4.14,1.88,1.62,1.80,1.84,1.52,1.49,3.61,2.85,4.07,1.139E5,3.867E5,1.961E5,4.437E5,2.211E5,2.026E5,4.397E5,1.00,3.40,1.72,3.90,1.94,1.78,3.86,38,14,13,TMT10plex; Carbamidomethylation,34482,Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3
1464,1133,Q9UMR2,6.79,158.09,2.091E3,3.986E3,3.612E3,2.66E3,4.632E3,5.083E3,4.815E3,1.016E4,8.205E3,5.589E3,8.874E3,7.743E3,2.853E3,9.802E3,8.143E3,5.475E3,7.67E3,8.892E3,8.233E3,1.279E4,1.235E4,1.00,1.91,1.73,1.27,2.21,2.43,2.30,4.86,3.92,2.67,4.24,3.70,1.36,4.69,3.89,2.62,3.67,4.25,3.94,6.12,5.90,9.69E3,1.237E4,2.318E4,2.221E4,2.08E4,2.204E4,3.337E4,1.00,1.28,2.39,2.29,2.15,2.27,3.44,4,19,2,TMT10plex; Deamidation (NQ),53927,ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B PE=1 SV=1
1506,980,Q15155,4.34,158.04,8.537E4,1.001E5,1.244E5,1.973E5,2.944E5,2.222E5,1.463E5,2.072E5,1.963E5,2.084E5,2.967E5,2.448E5,1.655E5,2.023E5,2.143E5,1.78E5,2.487E5,2.497E5,2.636E5,2.924E5,3.218E5,1.00,1.17,1.46,2.31,3.45,2.60,1.71,2.43,2.30,2.44,3.48,2.87,1.94,2.37,2.51,2.09,2.91,2.92,3.09,3.42,3.77,3.099E5,7.14E5,5.498E5,7.499E5,5.822E5,6.764E5,8.778E5,1.00,2.30,1.77,2.42,1.88,2.18,2.83,18,20,20,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),134324,Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5
1299,1222,Q16644,25.89,157.98,7.014E4,6.044E4,7.936E4,1.183E5,1.116E5,1.406E5,1.558E5,1.565E5,1.962E5,2.796E5,2.64E5,3.246E5,1.362E5,1.076E5,1.592E5,1.52E5,1.338E5,1.856E5,1.535E5,1.272E5,1.801E5,1.00,0.86,1.13,1.69,1.59,2.00,2.22,2.23,2.80,3.99,3.76,4.63,1.94,1.53,2.27,2.17,1.91,2.65,2.19,1.81,2.57,2.099E5,3.705E5,5.085E5,8.683E5,4.031E5,4.713E5,4.608E5,1.00,1.76,2.42,4.14,1.92,2.24,2.19,36,18,14,TMT10plex; Carbamidomethylation; Deamidation (NQ),42987,MAP kinase-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPKAPK3 PE=1 SV=1
2123,1024,Q27J81,1.56,157.97,4.543E4,2.403E4,3.074E4,5.546E4,3.434E4,4.569E4,5.031E4,3.669E4,3.632E4,5.369E4,3.365E4,4.286E4,4.197E4,4.179E4,3.725E4,5.167E4,4.634E4,3.481E4,5.103E4,2.826E4,3.953E4,1.00,0.53,0.68,1.22,0.76,1.01,1.11,0.81,0.80,1.18,0.74,0.94,0.92,0.92,0.82,1.14,1.02,0.77,1.12,0.62,0.87,1.002E5,1.355E5,1.233E5,1.302E5,1.21E5,1.328E5,1.188E5,1.00,1.35,1.23,1.30,1.21,1.33,1.19,15,13,12,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),135624,Inverted formin-2 OS=Homo sapiens OX=9606 GN=INF2 PE=1 SV=2
706,3062,P26447,31.61,157.90,1.112E6,9.142E5,1.039E6,2.532E6,2.024E6,2.282E6,1.618E6,1.268E6,1.59E6,3.957E6,3.13E6,3.546E6,1.583E6,1.282E6,1.514E6,1.728E6,1.394E6,1.685E6,1.008E6,8.819E5,9.511E5,1.00,0.82,0.93,2.28,1.82,2.05,1.45,1.14,1.43,3.56,2.81,3.19,1.42,1.15,1.36,1.55,1.25,1.52,0.91,0.79,0.86,3.065E6,6.838E6,4.477E6,1.063E7,4.378E6,4.807E6,2.841E6,1.00,2.23,1.46,3.47,1.43,1.57,0.93,64,20,20,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),11729,Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1
1144,779,O43615,15.26,157.88,2.254E5,2.242E5,1.585E5,6.151E5,5.46E5,4.506E5,2.928E5,2.66E5,1.898E5,5.187E5,4.645E5,4.004E5,3.818E5,3.293E5,2.892E5,3.82E5,3.515E5,2.63E5,7.354E5,5.998E5,4.866E5,1.00,0.99,0.70,2.73,2.42,2.00,1.30,1.18,0.84,2.30,2.06,1.78,1.69,1.46,1.28,1.70,1.56,1.17,3.26,2.66,2.16,6.081E5,1.612E6,7.486E5,1.384E6,1E6,9.966E5,1.822E6,1.00,2.65,1.23,2.28,1.64,1.64,3.00,47,20,20,TMT10plex; Carbamidomethylation,51356,Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2
